iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Update a task","PATCH","https://api.sendinblue.com/v3/crm/tasks/veniam elit in","Unauthorized","401","84","50",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.sendinblue.com/v3/crm/notes","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Create a note","POST","https://api.sendinblue.com/v3/crm/notes","Unauthorized","401","78","50","Created title matches request, Created content matches request, Response time is less than 2000ms, Content-Type is JSON","Created note contains an ID, Created note contains text",,"6","4","2","0"
"1","Sendinblue","Get a note","GET","https://api.sendinblue.com/v3/crm/notes/null","Unauthorized","401","81","50","Response is an object, Response body is not null, Note ID is valid, Response time is less than 2000ms, Content-Type is JSON","Note contains required fields",,"6","5","1","0"
"1","Sendinblue","Update a note","PATCH","https://api.sendinblue.com/v3/crm/notes/null","Unauthorized","401","79","50","Error response contains message, Response time is less than 2000ms, Content-Type is JSON","Status code is 400, Error message mentions incorrect contact IDs",,"5","3","2","0"
"1","Sendinblue","Delete a note","DELETE","https://api.sendinblue.com/v3/crm/notes/","Unauthorized","401","75","50","Response time is less than 2000ms, Response does not contain server error","Deleted note ID exists in collection variables",,"3","2","1","0"
"1","Sendinblue","Get all files","GET","https://api.sendinblue.com/v3/crm/files","Unauthorized","401","79","50","Response is not null, Response time is less than 2000ms, Content-Type is JSON","Response is an array, Each file contains an ID, Each file contains a name, File names are strings, File IDs are not null",,"8","3","5","0"
"1","Sendinblue","Upload a file","POST","https://api.sendinblue.com/v3/crm/files","Unauthorized","401","104","50","Uploaded file contains an ID, Uploaded file contains a name, Uploaded file name is not empty, Uploaded file name is a string, Uploaded file size is valid, Uploaded file has a valid content type, Response time is less than 3000ms",,,"7","7","0","0"
"1","Sendinblue","Download a file","GET","https://api.sendinblue.com/v3/crm/files/","Unauthorized","401","73","50","Downloaded file is not empty, Content-Type header exists, Content-Disposition header exists, Content-Disposition indicates attachment, Downloaded file has valid content length, Response time is less than 5000ms",,,"6","6","0","0"
"1","Sendinblue","Delete a file","DELETE","https://api.sendinblue.com/v3/crm/files/","Unauthorized","401","76","50","File ID exists before deletion, Response does not contain server error, Response time is less than 2000ms",,,"3","3","0","0"
"1","Sendinblue","Get file details","GET","https://api.sendinblue.com/v3/crm/files//data","Unauthorized","401","78","50","File details response is an object, File size is valid, File type is valid, Response time is less than 2000ms, Content-Type is JSON","File contains an ID, File contains a name, Returned file ID matches requested file, File name is valid",,"9","5","4","0"
"1","Sendinblue","Get an email campaign report","GET","https://api.sendinblue.com/v3/emailCampaigns/26","Unauthorized","401","177","50",,,,"0","0","0","0"
"1","Sendinblue","Update an email campaign","PUT","https://api.sendinblue.com/v3/emailCampaigns/13396752","Unauthorized","401","88","50",,,,"0","0","0","0"
"1","Sendinblue","Delete an email campaign","DELETE","https://api.sendinblue.com/v3/emailCampaigns/13396752","Unauthorized","401","78","50",,,,"0","0","0","0"
"1","Sendinblue","Send an email campaign immediately, based on campaignId","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendNow","Unauthorized","401","106","50",,,,"0","0","0","0"
"1","Sendinblue","Send an email campaign to your test list","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendTest","Unauthorized","401","84","50",,,,"0","0","0","0"
"1","Sendinblue","Update an email campaign status","PUT","https://api.sendinblue.com/v3/emailCampaigns/13396752/status","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Send the report of a campaign","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/sendReport","Unauthorized","401","102","50",,,,"0","0","0","0"
"1","Sendinblue","Get an A/B test email campaign results","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752/abTestCampaignResult","Unauthorized","401","83","50",,,,"0","0","0","0"
